event_name,encoded_string
CPVC,cpvc
FMR,fmr
Question_Slides,qs
Learning_Interactions,li
TOC,toc
Application_Launch,launch
Widget,wdgt
Hyperlink,hyp
PPT,ppt
Import,imp
LMS,lms
Project_Corruption,corr
Project_Creation,crea
Export,exp
Advanced_Actions,aa
Branching_View,bv
Import Video,vid
Characters,char
Grouping,grp
Effects,eff
Roundtripping,trip
Capture,cap
Aggregator,agg
Audio,aud
TTS,tts
Drag_Drop_Interaction,dnd
Publish,publ
Themes,them
Properties,prop
Library,lib
ToolBar_Media_Objects,media
ToolBar_Objects,obj
ToolBar_Smartshapes,ss
ToolBar_Text_Objects,txt
ToolBar_Save,save
Preview,pvw
ToolBar_AddSlides,slid
Responsive,resp
Geolocation,geo
ToolBar_Interaction_Objects,intn
elearning_brothers,elb
Community,comm
Project_Draft_Import,drft
Open Project,open
SVG,svg
Device_Capture,dvcap
Assets,ast
Math_Magic,math
Adobe_Stock,stck
States,state
